NAICS2017,NAICS2017_LABEL,LFO,EMPSZES,YEAR,ESTAB,PAYANN,EMP,LFO_dup1,EMPSZES_dup1,NAICS2017_dup1,us,year
00,Total for all sectors,001,001,2017,7860674,6725346754,128591812,001,001,00,1,2017
11,"Agriculture, forestry, fishing and hunting",001,001,2017,23363,7013892,164046,001,001,11,1,2017
21,"Mining, quarrying, and oil and gas extraction",001,001,2017,25732,50594998,578098,001,001,21,1,2017
22,Utilities,001,001,2017,18965,67432903,644703,001,001,22,1,2017
23,Construction,001,001,2017,715641,399208623,6533061,001,001,23,1,2017
31-33,Manufacturing,001,001,2017,290936,682640130,11721785,001,001,31-33,1,2017
42,Wholesale trade,001,001,2017,409656,434322021,6115476,001,001,42,1,2017
44-45,Retail trade,001,001,2017,1064449,444391749,15705808,001,001,44-45,1,2017
48-49,Transportation and warehousing,001,001,2017,237308,245134990,4866282,001,001,48-49,1,2017
51,Information,001,001,2017,153934,356825224,3507966,001,001,51,1,2017
52,Finance and insurance,001,001,2017,478224,643705713,6408168,001,001,52,1,2017
53,Real estate and rental and leasing,001,001,2017,406568,115681350,2148006,001,001,53,1,2017
54,"Professional, scientific, and technical services",001,001,2017,914718,747063430,8905549,001,001,54,1,2017
55,Management of companies and enterprises,001,001,2017,56363,370750514,3462498,001,001,55,1,2017
56,Administrative and support and waste management and remediation services,001,001,2017,419844,481960700,11897056,001,001,56,1,2017
61,Educational services,001,001,2017,105173,143037425,3688541,001,001,61,1,2017
62,Health care and social assistance,001,001,2017,897635,995683939,20241438,001,001,62,1,2017
71,"Arts, entertainment, and recreation",001,001,2017,143396,84168731,2368928,001,001,71,1,2017
72,Accommodation and food services,001,001,2017,726167,274536347,14088211,001,001,72,1,2017
81,Other services (except public administration),001,001,2017,764840,180879287,5534978,001,001,81,1,2017
99,Industries not classified,001,001,2017,7762,314788,11214,001,001,99,1,2017
00,Total for all sectors,001,001,2018,7912405,7097310272,130881471,001,001,00,1,2018
11,"Agriculture, forestry, fishing and hunting",001,001,2018,23393,7350109,163996,001,001,11,1,2018
21,"Mining, quarrying, and oil and gas extraction",001,001,2018,25593,57230829,605698,001,001,21,1,2018
22,Utilities,001,001,2018,19028,70046908,646930,001,001,22,1,2018
23,Construction,001,001,2018,733689,428743826,6814979,001,001,23,1,2018
31-33,Manufacturing,001,001,2018,290092,717859164,11912665,001,001,31-33,1,2018
42,Wholesale trade,001,001,2018,403648,450453631,6163815,001,001,42,1,2018
44-45,Retail trade,001,001,2018,1050175,457384241,15683147,001,001,44-45,1,2018
48-49,Transportation and warehousing,001,001,2018,244800,262456589,5031836,001,001,48-49,1,2018
51,Information,001,001,2018,157766,385210556,3600900,001,001,51,1,2018
52,Finance and insurance,001,001,2018,477562,673470881,6499208,001,001,52,1,2018
53,Real estate and rental and leasing,001,001,2018,418005,122888788,2209646,001,001,53,1,2018
54,"Professional, scientific, and technical services",001,001,2018,921521,801735878,9111666,001,001,54,1,2018
55,Management of companies and enterprises,001,001,2018,54726,393585140,3528948,001,001,55,1,2018
56,Administrative and support and waste management and remediation services,001,001,2018,418868,512058819,12287806,001,001,56,1,2018
61,Educational services,001,001,2018,106939,148455643,3731157,001,001,61,1,2018
62,Health care and social assistance,001,001,2018,907426,1039361468,20498753,001,001,62,1,2018
71,"Arts, entertainment, and recreation",001,001,2018,147122,88194950,2435562,001,001,71,1,2018
72,Accommodation and food services,001,001,2018,733134,291361680,14345140,001,001,72,1,2018
81,Other services (except public administration),001,001,2018,766761,189012306,5595744,001,001,81,1,2018
99,Industries not classified,001,001,2018,12157,448866,13875,001,001,99,1,2018
00,Total for all sectors,001,001,2019,7959103,7428553593,132989428,001,001,00,1,2019
11,"Agriculture, forestry, fishing and hunting",001,001,2019,22817,7608832,164567,001,001,11,1,2019
21,"Mining, quarrying, and oil and gas extraction",001,001,2019,25077,59454107,626740,001,001,21,1,2019
22,Utilities,001,001,2019,19146,71812845,641700,001,001,22,1,2019
23,Construction,001,001,2019,745207,457267898,7043901,001,001,23,1,2019
31-33,Manufacturing,001,001,2019,287626,740234344,12109803,001,001,31-33,1,2019
42,Wholesale trade,001,001,2019,397365,464318510,6181224,001,001,42,1,2019
44-45,Retail trade,001,001,2019,1044957,470531688,15693290,001,001,44-45,1,2019
48-49,Transportation and warehousing,001,001,2019,250080,283230651,5408372,001,001,48-49,1,2019
51,Information,001,001,2019,159260,401813861,3572352,001,001,51,1,2019
52,Finance and insurance,001,001,2019,476687,698661009,6553166,001,001,52,1,2019
53,Real estate and rental and leasing,001,001,2019,425263,130629403,2240148,001,001,53,1,2019
54,"Professional, scientific, and technical services",001,001,2019,927205,844954135,9284491,001,001,54,1,2019
55,Management of companies and enterprises,001,001,2019,52749,403325387,3523278,001,001,55,1,2019
56,Administrative and support and waste management and remediation services,001,001,2019,424928,550590772,12642017,001,001,56,1,2019
61,Educational services,001,001,2019,108285,157263459,3808801,001,001,61,1,2019
62,Health care and social assistance,001,001,2019,918433,1089652624,20864810,001,001,62,1,2019
71,"Arts, entertainment, and recreation",001,001,2019,151241,94162350,2504413,001,001,71,1,2019
72,Accommodation and food services,001,001,2019,741807,305455530,14492377,001,001,72,1,2019
81,Other services (except public administration),001,001,2019,769564,197119288,5619240,001,001,81,1,2019
99,Industries not classified,001,001,2019,11406,466900,14738,001,001,99,1,2019
00,Total for all sectors,001,001,2020,8000178,7564809878,134163349,001,001,00,1,2020
11,"Agriculture, forestry, fishing and hunting",001,001,2020,22747,8003079,167204,001,001,11,1,2020
21,"Mining, quarrying, and oil and gas extraction",001,001,2020,23908,49311516,577921,001,001,21,1,2020
22,Utilities,001,001,2020,19484,73610028,637058,001,001,22,1,2020
23,Construction,001,001,2020,753341,458933511,7182071,001,001,23,1,2020
31-33,Manufacturing,001,001,2020,283524,738225202,11999822,001,001,31-33,1,2020
42,Wholesale trade,001,001,2020,391114,464553588,6145378,001,001,42,1,2020
44-45,Retail trade,001,001,2020,1036821,484897716,15808465,001,001,44-45,1,2020
48-49,Transportation and warehousing,001,001,2020,257785,292377439,5711910,001,001,48-49,1,2020
51,Information,001,001,2020,160930,439777303,3577460,001,001,51,1,2020
52,Finance and insurance,001,001,2020,476816,753485846,6682343,001,001,52,1,2020
53,Real estate and rental and leasing,001,001,2020,437679,131656751,2280633,001,001,53,1,2020
54,"Professional, scientific, and technical services",001,001,2020,943222,893792133,9554479,001,001,54,1,2020
55,Management of companies and enterprises,001,001,2020,52409,410045896,3571149,001,001,55,1,2020
56,Administrative and support and waste management and remediation services,001,001,2020,431073,571012312,12718021,001,001,56,1,2020
61,Educational services,001,001,2020,110087,159217448,3832033,001,001,61,1,2020
62,Health care and social assistance,001,001,2020,928174,1116495863,21216569,001,001,62,1,2020
71,"Arts, entertainment, and recreation",001,001,2020,151881,78615416,2504959,001,001,71,1,2020
72,Accommodation and food services,001,001,2020,733872,249536269,14377016,001,001,72,1,2020
81,Other services (except public administration),001,001,2020,771330,190695894,5601688,001,001,81,1,2020
99,Industries not classified,001,001,2020,13981,566668,17170,001,001,99,1,2020
00,Total for all sectors,001,001,2021,8148606,8278573947,128346299,001,001,00,1,2021
11,"Agriculture, forestry, fishing and hunting",001,001,2021,23308,8519646,165688,001,001,11,1,2021
21,"Mining, quarrying, and oil and gas extraction",001,001,2021,23048,47530668,474877,001,001,21,1,2021
22,Utilities,001,001,2021,19896,74801007,633738,001,001,22,1,2021
23,Construction,001,001,2021,780257,489514844,7062022,001,001,23,1,2021
31-33,Manufacturing,001,001,2021,283015,785195521,11710424,001,001,31-33,1,2021
42,Wholesale trade,001,001,2021,390842,497749720,5925945,001,001,42,1,2021
44-45,Retail trade,001,001,2021,1036879,541353646,15530630,001,001,44-45,1,2021
48-49,Transportation and warehousing,001,001,2021,279148,316774053,5693641,001,001,48-49,1,2021
51,Information,001,001,2021,162006,505721716,3414629,001,001,51,1,2021
52,Finance and insurance,001,001,2021,478891,824873393,6738309,001,001,52,1,2021
53,Real estate and rental and leasing,001,001,2021,456226,145598850,2180602,001,001,53,1,2021
54,"Professional, scientific, and technical services",001,001,2021,962470,981361328,9531475,001,001,54,1,2021
55,Management of companies and enterprises,001,001,2021,52072,434565104,3484154,001,001,55,1,2021
56,Administrative and support and waste management and remediation services,001,001,2021,447474,672851459,12509600,001,001,56,1,2021
61,Educational services,001,001,2021,111543,167086654,3488028,001,001,61,1,2021
62,Health care and social assistance,001,001,2021,947570,1188600694,20681593,001,001,62,1,2021
71,"Arts, entertainment, and recreation",001,001,2021,156145,90767876,1858669,001,001,71,1,2021
72,Accommodation and food services,001,001,2021,745930,298821121,12142327,001,001,72,1,2021
81,Other services (except public administration),001,001,2021,781446,206324691,5105104,001,001,81,1,2021
99,Industries not classified,001,001,2021,10440,561956,14844,001,001,99,1,2021
00,Total for all sectors,001,001,2022,8298562,8965035263,135748407,001,001,00,1,2022
11,"Agriculture, forestry, fishing and hunting",001,001,2022,23332,8921632,168634,001,001,11,1,2022
21,"Mining, quarrying, and oil and gas extraction",001,001,2022,23180,55559266,508023,001,001,21,1,2022
22,Utilities,001,001,2022,20425,78714666,645214,001,001,22,1,2022
23,Construction,001,001,2022,800651,534390375,7361847,001,001,23,1,2022
31-33,Manufacturing,001,001,2022,285500,851307959,12188330,001,001,31-33,1,2022
42,Wholesale trade,001,001,2022,388706,535195540,6143230,001,001,42,1,2022
44-45,Retail trade,001,001,2022,1045890,584116408,15922438,001,001,44-45,1,2022
48-49,Transportation and warehousing,001,001,2022,294354,345454903,6108121,001,001,48-49,1,2022
51,Information,001,001,2022,160946,515680526,3634012,001,001,51,1,2022
52,Finance and insurance,001,001,2022,480546,845136982,6831897,001,001,52,1,2022
53,Real estate and rental and leasing,001,001,2022,466656,162142568,2333125,001,001,53,1,2022
54,"Professional, scientific, and technical services",001,001,2022,974303,1067844288,10152104,001,001,54,1,2022
55,Management of companies and enterprises,001,001,2022,51218,464501361,3661977,001,001,55,1,2022
56,Administrative and support and waste management and remediation services,001,001,2022,450481,764277276,13578709,001,001,56,1,2022
61,Educational services,001,001,2022,114806,180428011,3743840,001,001,61,1,2022
62,Health care and social assistance,001,001,2022,976418,1279490192,21171232,001,001,62,1,2022
71,"Arts, entertainment, and recreation",001,001,2022,162960,110036008,2318357,001,001,71,1,2022
72,Accommodation and food services,001,001,2022,771856,353090402,13793478,001,001,72,1,2022
81,Other services (except public administration),001,001,2022,797836,228192073,5471987,001,001,81,1,2022
99,Industries not classified,001,001,2022,8498,554827,11852,001,001,99,1,2022
00,Total for all sectors,001,001,2023,8361342,9556351319,139831742,001,001,00,1,2023
11,"Agriculture, forestry, fishing and hunting",001,001,2023,22752,9180464,161334,001,001,11,1,2023
21,"Mining, quarrying, and oil and gas extraction",001,001,2023,23360,63643926,553036,001,001,21,1,2023
22,Utilities,001,001,2023,20379,84904374,667277,001,001,22,1,2023
23,Construction,001,001,2023,814557,586559516,7659459,001,001,23,1,2023
31-33,Manufacturing,001,001,2023,284452,902962951,12335234,001,001,31-33,1,2023
42,Wholesale trade,001,001,2023,382081,564424182,6236357,001,001,42,1,2023
44-45,Retail trade,001,001,2023,1043373,605675581,16046207,001,001,44-45,1,2023
48-49,Transportation and warehousing,001,001,2023,291155,402043443,6548924,001,001,48-49,1,2023
51,Information,001,001,2023,160704,568303975,3809059,001,001,51,1,2023
52,Finance and insurance,001,001,2023,469382,876925090,6991623,001,001,52,1,2023
53,Real estate and rental and leasing,001,001,2023,469562,167613420,2391886,001,001,53,1,2023
54,"Professional, scientific, and technical services",001,001,2023,989182,1114419103,10401442,001,001,54,1,2023
55,Management of companies and enterprises,001,001,2023,49556,497375299,3855720,001,001,55,1,2023
56,Administrative and support and waste management and remediation services,001,001,2023,451014,762956356,13454862,001,001,56,1,2023
61,Educational services,001,001,2023,118004,197656313,3926820,001,001,61,1,2023
62,Health care and social assistance,001,001,2023,1003398,1394716191,22063238,001,001,62,1,2023
71,"Arts, entertainment, and recreation",001,001,2023,166356,119013881,2491408,001,001,71,1,2023
72,Accommodation and food services,001,001,2023,784882,393166035,14608170,001,001,72,1,2023
81,Other services (except public administration),001,001,2023,807804,244270342,5616494,001,001,81,1,2023
99,Industries not classified,001,001,2023,9389,540877,13192,001,001,99,1,2023
